coverage_id,coverage_name,provider_id,coverage_start_date,coverage_end_date,status,plan_id,yearly_premium,deductible_amount,co_pay_percentage
C0001,Outpatient Only,PR0026,2022-08-05,2025-08-05,Inactive,B0008,1245.48,2029.46,25
C0002,Mental Health Plan,PR0061,2022-04-22,2023-04-22,Inactive,B0001,1877.28,1018.73,20
C0003,Comprehensive Plan,PR0349,2026-02-01,2027-01-31,Inactive,B0009,4133.64,486.45,15
C0004,Dental Only,PR0455,2025-08-09,2026-08-08,Inactive,B0006,5914.08,356.13,15
C0005,HMO,PR0462,2025-04-04,2026-04-03,Inactive,B0009,4887.48,641.52,15
C0006,POS,PR0289,2023-12-20,2025-12-20,Inactive,B0002,4639.92,642.46,15
C0007,Emergency Only,PR0283,2025-01-06,2028-01-05,Active,B0007,1223.64,2481.28,30
C0008,PPO,PR0341,2023-03-24,2024-03-24,Inactive,B0010,4240.32,599.08,10
C0009,Outpatient Only,PR0289,2023-05-19,2025-05-19,Inactive,B0010,4748.52,474.81,15
C0010,Dental Only,PR0205,2023-03-05,2024-03-05,Inactive,B0008,4543.92,536.98,10
C0011,Vision Only,PR0206,2023-05-13,2024-05-13,Inactive,B0008,1268.64,2922.3,25
C0012,Inpatient Only,PR0030,2024-04-28,2025-04-28,Inactive,B0009,1702.68,1446.86,20
C0013,Mental Health Plan,PR0481,2023-12-17,2024-12-17,Inactive,B0004,5080.2,663.71,10
C0014,Inpatient Only,PR0220,2026-03-01,2028-03-01,Active,B0001,3576.24,522.61,15
C0015,Catastrophic Plan,PR0017,2023-12-02,2024-12-02,Inactive,B0005,5560.56,723.94,15
C0016,PPO,PR0445,2025-02-10,2027-02-09,Inactive,B0002,3573.12,710.7,10
C0017,Vision Only,PR0357,2025-03-25,2028-03-24,Active,B0001,2430,1346.16,20
C0018,Comprehensive Plan,PR0183,2023-03-10,2024-03-10,Inactive,B0009,4914.96,477.3,15
C0019,Dental Only,PR0324,2025-11-13,2027-11-12,Active,B0002,3306.84,532.37,15
C0020,POS,PR0443,2026-05-21,2029-05-21,Active,B0006,3182.28,643.58,10
C0021,Catastrophic Plan,PR0432,2022-10-04,2023-10-04,Inactive,B0005,5503.56,646.26,10
C0022,Maternity Coverage,PR0438,2022-09-12,2023-09-12,Inactive,B0010,1419.6,1683.74,25
C0023,Inpatient Only,PR0163,2024-07-26,2027-07-25,Active,B0005,1262.4,2099.33,20
C0024,POS,PR0259,2023-08-14,2025-08-14,Inactive,B0010,1679.88,1272.91,15
C0025,Comprehensive Plan,PR0083,2022-03-26,2024-03-26,Inactive,B0010,4602.72,382.58,10
C0026,Basic Health Plan,PR0388,2023-08-08,2026-08-07,Inactive,B0006,6000,675.17,10
C0027,PPO,PR0242,2025-01-15,2028-01-14,Active,B0009,3120,531.72,10
C0028,Vision Only,PR0097,2025-04-23,2028-04-22,Active,B0007,5607.96,571.41,15
C0029,HMO,PR0439,2024-07-02,2027-07-01,Active,B0007,4508.76,715.77,10
C0030,Maternity Coverage,PR0357,2024-09-09,2026-09-08,Inactive,B0005,5871.6,497.55,15
C0031,Prescription Drugs,PR0135,2024-03-03,2027-03-02,Inactive,B0004,2396.88,859.97,15
C0032,EPO,PR0127,2026-08-27,2027-08-27,Active,B0005,1955.64,1019.56,15
C0033,Emergency Only,PR0028,2024-01-16,2027-01-15,Inactive,B0004,3717.12,446.31,15
C0034,Dental Only,PR0101,2022-11-24,2025-11-24,Inactive,B0001,3533.76,655.06,10
C0035,POS,PR0489,2022-09-03,2023-09-03,Inactive,B0004,5066.4,399.27,15
C0036,PPO,PR0215,2025-09-07,2027-09-06,Active,B0004,3106.08,719.37,10
C0037,Inpatient Only,PR0286,2026-12-15,2027-12-15,Active,B0008,4234.44,599.03,15
C0038,Emergency Only,PR0171,2022-08-21,2023-08-21,Inactive,B0004,4147.56,339.57,10
C0039,Prescription Drugs,PR0180,2023-10-22,2025-10-22,Inactive,B0002,4686,560.5,10
C0040,HMO,PR0083,2024-12-17,2025-12-17,Inactive,B0002,3692.28,407.06,10
C0041,Basic Health Plan,PR0203,2024-06-24,2026-06-23,Inactive,B0004,4130.88,641.06,10
C0042,EPO,PR0400,2023-09-24,2024-09-24,Inactive,B0008,1489.8,1994.04,30
C0043,Catastrophic Plan,PR0007,2026-07-24,2029-07-24,Active,B0003,3077.88,603.93,10
C0044,Vision Only,PR0344,2024-11-11,2025-11-11,Inactive,B0007,5430.72,738.44,10
C0045,Mental Health Plan,PR0108,2023-04-20,2026-04-19,Inactive,B0007,4433.28,647.56,15
C0046,Mental Health Plan,PR0286,2025-05-25,2028-05-24,Active,B0009,1701.6,908.75,20
C0047,Comprehensive Plan,PR0287,2025-08-24,2028-08-23,Active,B0007,5563.32,301.47,10
C0048,Maternity Coverage,PR0476,2026-09-17,2027-09-17,Active,B0010,1896.48,1201.55,20
C0049,Vision Only,PR0374,2026-01-13,2028-01-12,Active,B0009,4472.52,472.01,15
C0050,Maternity Coverage,PR0036,2024-02-13,2025-02-13,Inactive,B0007,3343.2,597.76,15
C0051,Emergency Only,PR0269,2026-12-16,2028-12-16,Active,B0008,4303.08,333.6,15
C0052,Mental Health Plan,PR0008,2024-08-26,2026-08-25,Inactive,B0005,5490.84,679.67,10
C0053,Comprehensive Plan,PR0234,2024-12-10,2027-12-09,Active,B0008,1223.4,2691.28,30
C0054,Basic Health Plan,PR0296,2023-03-14,2025-03-14,Inactive,B0010,4806.72,426.97,15
C0055,Vision Only,PR0200,2025-04-03,2027-04-02,Inactive,B0002,4143.6,518.99,10
C0056,Dental Only,PR0027,2024-08-26,2027-08-25,Active,B0010,3114.12,656.27,10
C0057,Catastrophic Plan,PR0170,2025-04-19,2028-04-18,Active,B0007,5966.76,598.51,15
C0058,Dental Only,PR0146,2024-11-14,2026-11-13,Inactive,B0001,5570.04,529.27,10
C0059,EPO,PR0299,2026-11-20,2028-11-20,Active,B0009,4749.48,449.81,15
C0060,Dental Only,PR0408,2026-05-24,2028-05-24,Active,B0002,3238.44,469.02,15
C0061,POS,PR0274,2025-06-12,2027-06-11,Active,B0004,4220.88,659.22,15
C0062,Vision Only,PR0165,2024-08-16,2025-08-16,Inactive,B0003,2814.84,1393.7,20
C0063,Prescription Drugs,PR0291,2026-07-18,2027-07-18,Active,B0006,3940.8,328.86,10
C0064,Outpatient Only,PR0406,2025-08-21,2026-08-20,Inactive,B0010,1693.8,1489.2,15
C0065,Prescription Drugs,PR0359,2026-01-03,2027-01-02,Inactive,B0004,2927.52,1007.28,20
C0066,POS,PR0194,2022-04-11,2025-04-11,Inactive,B0005,1483.8,2444.64,30
