coverage_id,coverage_name,provider_id,coverage_start_date,coverage_end_date,status,plan_id,yearly_premium,deductible_amount,co_pay_percentage
C0901,Outpatient Only,PR0337,2025-09-23,2026-09-22,Inactive,B0004,2600.04,940.17,20
C0902,Maternity Coverage,PR0109,2022-07-25,2023-07-25,Inactive,B0006,2398.08,1248.93,20
C0903,POS,PR0375,2025-07-15,2026-07-14,Inactive,B0001,5962.44,375.6,10
C0904,Inpatient Only,PR0133,2023-07-23,2025-07-23,Inactive,B0004,3548.64,726.87,10
C0905,PPO,PR0244,2024-03-10,2025-03-10,Inactive,B0005,3493.2,575.02,10
C0906,PPO,PR0435,2023-08-15,2025-08-15,Inactive,B0004,2642.16,1240.24,15
C0907,Comprehensive Plan,PR0467,2025-10-09,2028-10-08,Active,B0008,3545.16,600.85,10
C0908,Basic Health Plan,PR0266,2026-07-22,2027-07-22,Active,B0001,4825.08,597.48,10
C0909,EPO,PR0357,2024-10-23,2025-10-23,Inactive,B0005,3407.64,483.21,10
C0910,Basic Health Plan,PR0164,2024-09-26,2027-09-25,Active,B0010,1308,1779.32,20
C0911,PPO,PR0046,2026-11-23,2029-11-23,Active,B0006,4256.04,465.03,15
C0912,POS,PR0240,2026-01-15,2027-01-14,Inactive,B0008,2949.36,1214.89,20
C0913,Inpatient Only,PR0059,2026-02-06,2028-02-05,Active,B0002,4772.4,656.18,15
C0914,Vision Only,PR0171,2024-11-18,2026-11-17,Inactive,B0009,4130.64,388.02,10
C0915,Emergency Only,PR0066,2022-04-18,2024-04-18,Inactive,B0004,5385.24,609.32,15
C0916,Basic Health Plan,PR0049,2022-07-18,2023-07-18,Inactive,B0002,1903.32,955.71,15
C0917,Emergency Only,PR0487,2026-03-23,2028-03-23,Active,B0001,4525.56,520.43,10
C0918,HMO,PR0182,2022-07-10,2023-07-10,Inactive,B0007,2311.2,858.47,20
C0919,POS,PR0359,2026-05-13,2029-05-13,Active,B0007,1511.52,913.16,15
C0920,Maternity Coverage,PR0425,2022-08-11,2024-08-11,Inactive,B0005,1398.72,1723.6,30
C0921,Inpatient Only,PR0085,2026-06-18,2028-06-18,Active,B0009,3524.52,381.51,15
C0922,Comprehensive Plan,PR0264,2025-04-01,2027-03-31,Inactive,B0010,2128.08,954.3,20
C0923,Comprehensive Plan,PR0274,2026-09-03,2028-09-03,Active,B0003,2127.84,1027.39,20
C0924,Basic Health Plan,PR0422,2026-10-27,2029-10-27,Active,B0003,1618.92,990.46,20
C0925,Emergency Only,PR0276,2024-02-25,2026-02-25,Inactive,B0010,3999.96,553.33,15
C0926,Vision Only,PR0062,2023-06-03,2025-06-03,Inactive,B0006,1807.32,801.59,15
C0927,POS,PR0168,2026-06-11,2028-06-11,Active,B0003,1507.08,1412.65,20
C0928,Dental Only,PR0473,2025-04-07,2027-04-06,Inactive,B0008,2474.4,848.32,20
C0929,POS,PR0339,2022-05-17,2025-05-17,Inactive,B0004,2809.8,922.1,15
C0930,Vision Only,PR0031,2025-07-25,2026-07-24,Inactive,B0004,4075.2,360.84,15
C0931,Catastrophic Plan,PR0348,2022-04-26,2024-04-26,Inactive,B0007,3115.56,574.72,10
C0932,Outpatient Only,PR0345,2026-12-03,2029-12-03,Active,B0009,1823.64,1227.89,20
C0933,EPO,PR0372,2025-02-10,2028-02-09,Active,B0002,2457.96,792.16,20
C0934,POS,PR0116,2022-06-21,2025-06-21,Inactive,B0001,2208.48,1246,15
C0935,EPO,PR0344,2025-06-21,2028-06-20,Active,B0005,2337.24,1110.82,20
C0936,Prescription Drugs,PR0407,2026-10-18,2028-10-18,Active,B0001,2902.92,793.76,20
C0937,Emergency Only,PR0356,2023-03-24,2024-03-24,Inactive,B0006,1537.68,1261.23,15
C0938,HMO,PR0040,2023-04-02,2024-04-02,Inactive,B0008,4322.28,447.19,10
C0939,Basic Health Plan,PR0432,2024-11-05,2025-11-05,Inactive,B0005,5854.68,389.56,15
C0940,Emergency Only,PR0397,2022-02-16,2025-02-15,Inactive,B0004,5275.92,587.34,15
C0941,Dental Only,PR0359,2025-02-12,2027-02-11,Inactive,B0010,2694,1266.35,20
C0942,Prescription Drugs,PR0110,2025-05-05,2027-05-04,Inactive,B0010,3280.92,695.21,10
C0943,POS,PR0383,2026-08-05,2029-08-05,Active,B0010,1597.08,1461.23,15
