coverage_id,coverage_name,provider_id,coverage_start_date,coverage_end_date,status,plan_id,yearly_premium,deductible_amount,co_pay_percentage
C0401,Inpatient Only,PR0227,2022-12-15,2025-12-15,Inactive,B0009,5417.64,398.42,15
C0402,Maternity Coverage,PR0333,2024-07-22,2026-07-21,Inactive,B0008,1397.04,2773.86,25
C0403,Catastrophic Plan,PR0085,2022-07-11,2023-07-11,Inactive,B0010,4653.6,305.26,10
C0404,Maternity Coverage,PR0206,2024-01-07,2025-01-07,Inactive,B0007,2910.36,1014.88,20
C0405,Vision Only,PR0467,2024-04-05,2027-04-04,Inactive,B0001,2469.24,1404.87,15
C0406,Comprehensive Plan,PR0391,2026-03-04,2028-03-04,Active,B0004,3633.36,718.53,10
C0407,Comprehensive Plan,PR0273,2026-02-17,2028-02-16,Active,B0009,1994.88,763.17,20
C0408,Maternity Coverage,PR0226,2026-09-15,2029-09-15,Active,B0010,2544.24,779.2,15
C0409,Vision Only,PR0268,2024-11-16,2026-11-15,Inactive,B0009,2182.32,960.39,20
C0410,HMO,PR0144,2024-11-16,2027-11-15,Active,B0009,3198.6,499.22,10
C0411,HMO,PR0042,2025-10-01,2028-09-30,Active,B0005,4544.52,468.53,10
C0412,Outpatient Only,PR0297,2023-02-09,2026-02-09,Inactive,B0003,3184.68,617.68,15
C0413,Mental Health Plan,PR0432,2022-06-08,2024-06-08,Inactive,B0007,4340.28,721.44,15
C0414,Vision Only,PR0476,2026-08-18,2027-08-18,Active,B0008,5903.16,647.04,10
C0415,Emergency Only,PR0453,2024-05-24,2026-05-23,Inactive,B0010,3050.64,619.63,15
C0416,Basic Health Plan,PR0189,2023-08-21,2026-08-20,Inactive,B0010,1288.8,2461.32,30
C0417,Maternity Coverage,PR0302,2025-01-26,2027-01-25,Inactive,B0004,2733.24,1369,15
C0418,Dental Only,PR0301,2025-05-09,2027-05-08,Inactive,B0004,3701.64,634.59,10
C0419,Outpatient Only,PR0369,2024-10-16,2027-10-15,Active,B0008,2317.32,1206.67,15
C0420,Comprehensive Plan,PR0284,2026-05-14,2028-05-14,Active,B0002,4614.24,559.67,15
C0421,Basic Health Plan,PR0157,2024-07-28,2025-07-28,Inactive,B0003,2391.48,996.25,20
C0422,Comprehensive Plan,PR0289,2023-04-15,2026-04-14,Inactive,B0003,1344,1795.98,20
C0423,PPO,PR0477,2025-09-10,2026-09-09,Inactive,B0002,4982.52,401.56,15
C0424,Prescription Drugs,PR0287,2025-04-10,2026-04-09,Inactive,B0008,5431.92,662.71,10
C0425,Prescription Drugs,PR0288,2023-03-08,2025-03-08,Inactive,B0009,2372.04,1022.97,15
C0426,EPO,PR0012,2022-07-07,2023-07-07,Inactive,B0003,3495.96,372.73,15
C0427,Basic Health Plan,PR0126,2023-11-10,2024-11-10,Inactive,B0007,1616.16,1298.74,15
C0428,Catastrophic Plan,PR0131,2024-08-15,2027-08-14,Active,B0006,5731.56,381.19,15
C0429,POS,PR0496,2024-09-23,2025-09-23,Inactive,B0002,4521,685.39,15
C0430,Basic Health Plan,PR0303,2024-10-13,2025-10-13,Inactive,B0004,3787.2,353.92,10
C0431,POS,PR0318,2026-01-07,2028-01-06,Active,B0010,3823.44,396.9,10
C0432,Maternity Coverage,PR0440,2025-12-14,2027-12-13,Active,B0002,3625.44,744.74,15
C0433,Mental Health Plan,PR0287,2022-03-12,2025-03-12,Inactive,B0008,5570.16,436.98,10
C0434,Mental Health Plan,PR0092,2025-02-23,2028-02-22,Active,B0010,2436,1313.97,20
C0435,Prescription Drugs,PR0314,2024-02-22,2027-02-21,Inactive,B0009,3255.72,452.98,10
C0436,Emergency Only,PR0061,2026-05-18,2027-05-18,Active,B0005,1962.36,1319.98,15
C0437,EPO,PR0402,2023-01-28,2026-01-28,Inactive,B0003,2780.52,935.81,15
C0438,Prescription Drugs,PR0275,2024-09-28,2025-09-28,Inactive,B0004,5000.88,513.6,10
C0439,Dental Only,PR0113,2023-12-03,2024-12-03,Inactive,B0005,4613.76,701.62,10
C0440,Maternity Coverage,PR0351,2025-02-24,2027-02-23,Inactive,B0006,3853.2,687.54,15
C0441,Catastrophic Plan,PR0176,2026-11-04,2029-11-04,Active,B0008,2564.64,823.71,15
C0442,Emergency Only,PR0352,2025-02-06,2026-02-06,Inactive,B0010,5176.56,367.36,10
C0443,HMO,PR0136,2025-06-10,2028-06-09,Active,B0009,3885.36,447.03,15
C0444,Basic Health Plan,PR0367,2023-04-03,2025-04-03,Inactive,B0009,4073.64,571.25,15
C0445,Outpatient Only,PR0033,2024-12-03,2026-12-02,Inactive,B0004,4740.6,448.79,15
C0446,Dental Only,PR0084,2026-05-12,2029-05-12,Active,B0003,1804.08,1310.77,15
C0447,Basic Health Plan,PR0332,2025-09-03,2027-09-02,Active,B0010,1385.88,1970.77,30
C0448,Catastrophic Plan,PR0431,2023-09-28,2025-09-28,Inactive,B0003,4557.72,462.78,15
C0449,HMO,PR0293,2025-09-04,2028-09-03,Active,B0001,1861.44,1496.61,15
C0450,Inpatient Only,PR0154,2025-06-12,2027-06-11,Active,B0008,4663.44,501.82,15
