coverage_id,coverage_name,provider_id,coverage_start_date,coverage_end_date,status,plan_id,yearly_premium,deductible_amount,co_pay_percentage
C0101,Catastrophic Plan,PR0034,2026-07-19,2027-07-19,Active,B0008,5800.44,365.77,10
C0102,Basic Health Plan,PR0333,2026-11-06,2027-11-06,Active,B0005,1726.44,902.44,20
C0103,Mental Health Plan,PR0225,2022-07-25,2023-07-25,Inactive,B0009,3645.6,697.9,10
C0104,PPO,PR0105,2024-09-17,2026-09-16,Inactive,B0001,4698,408.61,15
C0105,Basic Health Plan,PR0214,2026-01-26,2029-01-25,Active,B0006,2676.36,1311.42,15
C0106,Catastrophic Plan,PR0180,2023-07-11,2026-07-10,Inactive,B0008,2893.56,847.61,15
C0107,Maternity Coverage,PR0012,2025-07-28,2027-07-27,Active,B0007,1585.44,847.55,15
C0108,Catastrophic Plan,PR0497,2025-04-12,2028-04-11,Active,B0009,3597.84,544.48,10
C0109,Vision Only,PR0040,2026-02-04,2027-02-03,Inactive,B0004,2630.16,988.25,20
C0110,Comprehensive Plan,PR0363,2023-11-17,2026-11-16,Inactive,B0007,4557.36,624.83,15
C0111,POS,PR0092,2023-06-10,2025-06-10,Inactive,B0001,5773.8,420.37,15
C0112,EPO,PR0412,2023-08-18,2024-08-18,Inactive,B0003,2295.84,1351.71,20
C0113,Vision Only,PR0094,2026-11-18,2028-11-18,Active,B0004,3522.36,744.35,15
C0114,PPO,PR0021,2023-05-02,2024-05-02,Inactive,B0004,4585.56,493.95,15
C0115,HMO,PR0151,2025-09-06,2026-09-05,Inactive,B0001,4070.88,614.95,15
C0116,Inpatient Only,PR0211,2026-12-21,2029-12-21,Active,B0010,2661.84,1297.46,20
C0117,PPO,PR0111,2023-07-16,2024-07-16,Inactive,B0002,1555.08,986.91,15
C0118,HMO,PR0460,2024-03-10,2026-03-09,Inactive,B0003,1723.44,972.3,20
C0119,Comprehensive Plan,PR0180,2026-08-20,2027-08-20,Active,B0009,5100.84,567.58,15
C0120,Vision Only,PR0144,2024-04-11,2026-04-10,Inactive,B0003,1421.52,2324.73,20
C0121,POS,PR0447,2023-11-09,2024-11-09,Inactive,B0007,2156.28,909.24,15
C0122,POS,PR0315,2026-05-25,2029-05-25,Active,B0008,4751.52,689.72,10
C0123,Comprehensive Plan,PR0457,2023-01-04,2024-01-04,Inactive,B0005,1738.44,1298.9,20
C0124,Inpatient Only,PR0102,2022-06-25,2023-06-25,Inactive,B0001,4664.4,745.91,15
C0125,HMO,PR0470,2024-09-10,2025-09-10,Inactive,B0007,5015.4,408.25,10
C0126,Mental Health Plan,PR0244,2022-09-16,2025-09-16,Inactive,B0007,3071.64,521.42,15
C0127,POS,PR0171,2026-07-08,2027-07-08,Active,B0002,4129.44,673.18,15
