coverage_id,coverage_name,provider_id,coverage_start_date,coverage_end_date,status,plan_id,yearly_premium,deductible_amount,co_pay_percentage
C0601,Mental Health Plan,PR0411,2024-12-22,2026-12-21,Inactive,B0005,4329.6,333.24,10
C0602,EPO,PR0184,2025-04-28,2028-04-27,Active,B0007,3057.6,640.1,15
C0603,EPO,PR0091,2025-08-20,2027-08-19,Active,B0001,5880.84,431.34,10
C0604,Emergency Only,PR0275,2024-06-15,2027-06-14,Active,B0002,4897.92,441.13,15
C0605,Inpatient Only,PR0353,2023-08-01,2026-07-31,Inactive,B0003,3258.72,630.76,15
C0606,Dental Only,PR0484,2023-08-19,2025-08-19,Inactive,B0002,3616.32,611.25,10
C0607,HMO,PR0159,2023-11-18,2024-11-18,Inactive,B0005,5968.56,310.96,10
C0608,PPO,PR0446,2023-12-27,2024-12-27,Inactive,B0009,5562.12,318.51,10
C0609,Mental Health Plan,PR0129,2026-05-11,2027-05-11,Inactive,B0004,5777.64,513.38,10
C0610,POS,PR0244,2025-11-18,2028-11-17,Active,B0001,5438.4,714.32,10
C0611,Emergency Only,PR0274,2023-03-11,2024-03-11,Inactive,B0008,3313.44,466.38,15
C0612,HMO,PR0479,2022-02-27,2025-02-26,Inactive,B0008,2608.44,879.21,20
C0613,Maternity Coverage,PR0415,2022-11-09,2023-11-09,Inactive,B0003,2256.96,1023.3,20
C0614,PPO,PR0080,2023-09-26,2026-09-25,Inactive,B0005,5348.52,604.48,10
C0615,Mental Health Plan,PR0297,2025-08-02,2026-08-01,Inactive,B0005,3861.48,744,10
C0616,PPO,PR0308,2023-11-27,2025-11-27,Inactive,B0006,1445.64,2532.39,30
C0617,Prescription Drugs,PR0053,2026-01-06,2028-01-05,Active,B0001,2125.56,1242.78,20
C0618,Inpatient Only,PR0487,2025-07-24,2026-07-23,Inactive,B0003,5106.96,739.93,15
C0619,Outpatient Only,PR0412,2026-06-15,2029-06-15,Active,B0003,5261.64,708.37,15
C0620,Catastrophic Plan,PR0462,2025-08-13,2026-08-12,Inactive,B0004,2486.52,869.68,15
C0621,Maternity Coverage,PR0226,2026-07-06,2028-07-06,Active,B0008,4773.12,739.31,15
C0622,Inpatient Only,PR0015,2023-12-22,2024-12-22,Inactive,B0004,2423.76,1430.54,15
C0623,Mental Health Plan,PR0459,2026-07-23,2028-07-23,Active,B0005,3791.64,598.05,15
C0624,Vision Only,PR0439,2023-08-14,2025-08-14,Inactive,B0004,3281.64,597.1,10
C0625,EPO,PR0129,2025-11-03,2027-11-02,Active,B0005,5199.84,351.21,10
C0626,Catastrophic Plan,PR0008,2022-09-06,2023-09-06,Inactive,B0003,5989.56,461.16,10
C0627,Inpatient Only,PR0272,2026-08-21,2027-08-21,Active,B0002,4827.84,384.16,10
C0628,Emergency Only,PR0238,2024-03-15,2025-03-15,Inactive,B0009,3742.44,513.04,15
C0629,HMO,PR0322,2022-03-22,2025-03-22,Inactive,B0010,1295.4,2031.18,30
C0630,Vision Only,PR0414,2024-01-03,2026-01-03,Inactive,B0005,5497.2,616.78,10
C0631,Maternity Coverage,PR0133,2025-09-13,2028-09-12,Active,B0010,2943.6,1426.45,15
C0632,PPO,PR0292,2022-11-21,2024-11-21,Inactive,B0002,1912.56,1289.94,15
C0633,Inpatient Only,PR0330,2024-12-16,2027-12-15,Active,B0006,5306.52,626.54,15
C0634,Vision Only,PR0052,2024-06-28,2025-06-28,Inactive,B0003,5789.4,431.74,15
C0635,Comprehensive Plan,PR0329,2025-10-09,2026-10-08,Inactive,B0006,5417.16,668.8,10
C0636,Mental Health Plan,PR0390,2024-05-13,2026-05-12,Inactive,B0006,2795.76,1425.79,15
C0637,EPO,PR0500,2025-07-25,2026-07-24,Inactive,B0010,3560.4,513.34,10
C0638,Basic Health Plan,PR0232,2026-10-09,2029-10-09,Active,B0008,1764.96,790.48,20
C0639,POS,PR0012,2026-05-21,2029-05-21,Active,B0002,4799.88,444.19,10
C0640,Basic Health Plan,PR0299,2023-12-06,2026-12-05,Inactive,B0002,2724.24,751.23,20
C0641,Mental Health Plan,PR0389,2022-03-18,2023-03-18,Inactive,B0009,5667.96,466.69,15
