coverage_id,coverage_name,provider_id,coverage_start_date,coverage_end_date,status,plan_id,yearly_premium,deductible_amount,co_pay_percentage
C0501,Basic Health Plan,PR0095,2026-02-26,2028-02-25,Active,B0003,3386.52,717.99,10
C0502,Mental Health Plan,PR0125,2023-06-04,2025-06-04,Inactive,B0010,2115.48,956.08,20
C0503,Catastrophic Plan,PR0419,2023-05-02,2026-05-01,Inactive,B0007,2771.64,878.34,20
C0504,Mental Health Plan,PR0143,2025-12-11,2026-12-10,Inactive,B0001,3086.4,686.9,10
C0505,EPO,PR0315,2022-08-27,2025-08-27,Inactive,B0010,3401.76,365.19,15
C0506,Emergency Only,PR0225,2024-10-01,2027-09-30,Active,B0001,2870.16,1290.25,15
C0507,Dental Only,PR0082,2025-05-26,2026-05-25,Inactive,B0005,1731.12,1041.87,15
C0508,Prescription Drugs,PR0398,2023-07-11,2025-07-11,Inactive,B0004,1715.88,1194.05,15
C0509,Outpatient Only,PR0289,2022-05-05,2025-05-05,Inactive,B0006,2956.92,1244.43,20
C0510,Catastrophic Plan,PR0332,2024-11-07,2025-11-07,Inactive,B0002,2107.08,878.99,15
C0511,HMO,PR0240,2026-02-27,2028-02-26,Active,B0009,3253.44,741.02,15
C0512,Comprehensive Plan,PR0184,2025-03-07,2026-03-06,Inactive,B0009,1972.32,975.38,20
C0513,Vision Only,PR0023,2022-07-08,2023-07-08,Inactive,B0006,3998.4,704.81,15
C0514,EPO,PR0253,2025-03-13,2028-03-12,Active,B0010,3057.36,614.36,15
C0515,Outpatient Only,PR0049,2026-09-16,2027-09-16,Active,B0006,3676.68,353.4,15
C0516,Emergency Only,PR0036,2024-12-26,2025-12-26,Inactive,B0009,4395.12,473.56,15
C0517,Outpatient Only,PR0043,2026-11-19,2029-11-19,Active,B0003,3834.24,661.1,15
C0518,Inpatient Only,PR0106,2022-03-05,2025-03-05,Inactive,B0005,5587.8,707.37,10
C0519,EPO,PR0458,2024-07-22,2026-07-21,Inactive,B0002,3267.84,370.15,15
C0520,Catastrophic Plan,PR0084,2022-03-19,2023-03-19,Inactive,B0010,5810.76,628.97,10
C0521,Catastrophic Plan,PR0051,2023-12-15,2026-12-14,Inactive,B0005,4053.96,577.77,15
C0522,EPO,PR0238,2022-10-18,2024-10-18,Inactive,B0010,5806.32,428.33,10
C0523,Catastrophic Plan,PR0151,2022-12-26,2025-12-26,Inactive,B0003,1750.92,1246.96,20
C0524,Catastrophic Plan,PR0350,2026-12-09,2029-12-09,Active,B0005,4593.72,667.52,15
C0525,Mental Health Plan,PR0195,2022-08-23,2023-08-23,Inactive,B0006,4508.64,696.1,15
C0526,Prescription Drugs,PR0305,2022-03-16,2024-03-16,Inactive,B0002,3384.84,470.37,10
C0527,Vision Only,PR0243,2023-04-19,2026-04-18,Inactive,B0002,1518.96,913.79,15
C0528,EPO,PR0229,2023-10-10,2025-10-10,Inactive,B0010,5583.48,351.87,15
C0529,Inpatient Only,PR0079,2025-03-11,2027-03-10,Inactive,B0010,1476.24,1715.38,30
C0530,Vision Only,PR0265,2026-05-10,2028-05-10,Active,B0003,2363.4,959.1,15
C0531,Comprehensive Plan,PR0308,2023-08-05,2026-08-04,Inactive,B0005,2036.64,1110.57,15
