coverage_id,coverage_name,provider_id,coverage_start_date,coverage_end_date,status,plan_id,yearly_premium,deductible_amount,co_pay_percentage
C0201,Mental Health Plan,PR0043,2025-08-14,2027-08-13,Active,B0002,2680.44,830.47,20
C0202,PPO,PR0279,2024-06-22,2025-06-22,Inactive,B0005,5743.2,551.29,10
C0203,Comprehensive Plan,PR0498,2022-07-28,2025-07-28,Inactive,B0006,4442.4,416.79,15
C0204,Maternity Coverage,PR0248,2024-05-20,2025-05-20,Inactive,B0010,3529.32,647.46,10
C0205,Outpatient Only,PR0243,2023-11-26,2024-11-26,Inactive,B0008,5522.04,512.13,15
C0206,Inpatient Only,PR0435,2026-08-04,2029-08-04,Active,B0006,5258.76,402.55,15
C0207,Dental Only,PR0416,2025-04-18,2026-04-17,Inactive,B0005,5476.44,517.43,10
C0208,POS,PR0246,2023-06-05,2024-06-05,Inactive,B0009,5828.52,465.21,15
C0209,Dental Only,PR0389,2023-08-12,2024-08-12,Inactive,B0001,4279.32,306.47,15
C0210,Basic Health Plan,PR0377,2022-01-05,2023-01-04,Inactive,B0005,2003.28,1044.12,20
C0211,EPO,PR0392,2022-05-10,2025-05-10,Inactive,B0002,5423.28,607.34,15
C0212,Maternity Coverage,PR0266,2023-09-01,2026-08-31,Inactive,B0006,1811.28,1452.23,15
C0213,Inpatient Only,PR0151,2025-06-07,2027-06-06,Active,B0006,5342.04,523.95,15
C0214,Vision Only,PR0242,2024-08-19,2025-08-19,Inactive,B0003,3367.44,612.29,10
C0215,Catastrophic Plan,PR0055,2025-05-22,2026-05-21,Inactive,B0010,5216.76,631.26,10
C0216,Basic Health Plan,PR0268,2025-08-27,2026-08-26,Inactive,B0004,2097.96,992.14,15
C0217,Emergency Only,PR0014,2023-06-21,2026-06-20,Inactive,B0007,5545.32,628.36,15
C0218,Inpatient Only,PR0031,2025-12-15,2028-12-14,Active,B0004,4400.52,305.84,10
C0219,Maternity Coverage,PR0223,2025-07-08,2027-07-07,Active,B0008,2921.16,1211.3,20
C0220,HMO,PR0230,2026-02-05,2028-02-04,Active,B0010,2631.6,1324.32,20
